,Words,Old_WScore,Position_Weight,SCScore
61,window,43375.280000000006,0.010081094016220234,437.27027565987726
323,publish,22930.507407407407,0.018546331330518417,425.27678795468466
48,textrank,46142.99358024692,0.009090134349696997,419.4460109416505
1005,decemb,6583.455218855218,0.0625,411.4659511784511
96,sophist,38067.04,0.010808417715513602,411.4444695131649
478,version,17612.46734006734,0.02313288881119062,407.4272486685039
110,cluster,36899.65811965812,0.010987646866272766,405.4404129049979
195,challeng,29865.693693693695,0.01349889702572853,403.1539237731211
386,final,20613.26748971193,0.019535891521632764,402.69855758541155
133,assign,34662.26666666666,0.011399702859749429,395.13954044539724
178,limit,31194.402867383516,0.012451628330937459,388.4211105101893
1009,revis,6583.455218855218,0.058823529411764705,387.26207169736574
60,hierarchi,43559.99999999999,0.008880056069633073,386.8152423932166
75,studi,41881.59746031746,0.009183918477339034,384.6371767762851
49,level,45624.44666666667,0.008421154243604652,384.2105026591142
63,goldstandard,43065.16938271605,0.00889483016468758,383.0573676727627
86,search,39587.99583333333,0.00954553489851512,377.88859578935444
230,discuss,27766.355555555558,0.013377978218793753,371.4576998375052
251,repres,26746.60433604336,0.013728493912611694,367.19059481040483
30,figur,52599.176666666666,0.006909337955403458,363.425487765972
106,truss,37190.51724137931,0.009717988308423204,361.4170117359357
52,posit,44940.554444444446,0.007936613354308288,356.67580455379647
127,frequenc,34955.86388888889,0.010096720755369432,352.9395964488133
33,compar,51805.54166666666,0.006795999854977063,352.0704536536748
1002,septemb,6583.455218855218,0.05263157894736842,346.49764309764305
125,effici,35025.624691358025,0.009814074993055559,343.7441073996061
105,filter,37316.52888888889,0.009180309880660764,342.57729887062953
265,univers,25988.035416666666,0.013181355366310108,342.5575300993363
42,observ,49078.78888888889,0.006907127039166722,338.9934297839997
558,provid,15414.545454545456,0.02195694790374362,338.4563715053426
134,step,34654.46315789474,0.009556587215491928,331.1783995744729
85,size,40444.12,0.008057157055376962,325.86462680651255
180,lack,30981.3567251462,0.010471627140827788,324.42521594270846
895,bhatnagar,8958.146801346802,0.035904399782726776,321.63688406791067
69,experiment,42448.14765432099,0.0072603479443433,308.18832156323026
59,degext,43877.72444444445,0.006938196968124028,304.43229470862605
